instructions,cycles,cpu_migrations,branches,branch_misses,context_switches,cache_references,cache_misses,L1_dcache_stores,L1_dcache_loads,L1_dcache_load_misses,LLC_stores,LLC_loads,thread,workload,class,app,dwarfs,MIPS,instructions_per_cycle,Loads_PTI,Stores_PTI,L1_load_ratio,L1_load_rate_PTI,branch_miss_predict_ratio,branch_miss_predict_rate_PTI,cache_misses_PTI,power,seconds
228597864453,551472078569,12,36248051942,218281203,16992,20354986868,2810533011,2028424892,87452930923,31140831453,143574004,20301673342,12,B,MEM,cg,SLA,14015.8102055794,0.414523007304708,88.8095494268016,0.628063627556411,2.80830430154026,136.225382190316,0.006021874040273,0.954869825762869,12.2946599598609,398,16.31
610943049301,776843921740,1,97896171869,429013264,21376,65347705029,6195691116,5726575889,230171330194,83661491086,322130208,65250891648,1,C,MEM,cg,SLA,2396.98308733914,0.786442465730555,106.803558404758,0.527267162411553,2.75122194460286,136.938281205949,0.004382329316963,0.702214820990022,10.1411925761144,320,254.88
611074466941,774924752367,1,97904148444,429429567,21322,65390065930,6219907859,5731526692,230168448321,83668333128,325527212,65286952533,1,C,MEM,cg,SLA,2403.53393227266,0.78855974734899,106.839601497052,0.532712835523252,2.75096251731078,136.920028007124,0.004386224422815,0.702745066652346,10.1786413857814,324,254.24
611098280368,776279645395,1,97908506136,429246513,21358,65375864276,6217965679,5728498126,230186099195,83670437968,324659062,65275227578,1,C,MEM,cg,SLA,2399.28653462112,0.787214097385035,106.816251452535,0.531271437721101,2.7511042703402,136.918136829994,0.004384159558147,0.702418132712647,10.1750665625431,324,254.7
611165555252,776134877780,1,97902030801,429115571,21351,65386635179,6217934712,5724677695,230182412848,83665402272,324406385,65281623988,1,C,MEM,cg,SLA,2400.11606680804,0.787447610910276,106.814959427945,0.530799522669825,2.75122579462018,136.894825883148,0.004383112050783,0.70212656343675,10.1738958594225,324,254.64
611099746555,777012586684,1,97896240752,429173522,21373,65377896267,6216869093,5738180449,230164495578,83673036966,323472687,65270726049,1,C,MEM,cg,SLA,2397.40975502158,0.786473420157768,106.808628897256,0.529328786050948,2.75076062640736,136.922061312734,0.00438396325235,0.702297005389731,10.1732477030908,324,254.9
611051050492,775612366094,1,97896748264,429081165,21341,65385006257,6218255767,5719004513,230187847460,83667848935,325440430,65284305007,1,C,MEM,cg,SLA,2401.08079096232,0.787830464293995,106.839363019563,0.532591229060101,2.75121029630902,136.924482606868,0.004382997112865,0.702201828561651,10.1763277585289,324,254.49
611087016456,777207324946,1,97924987474,429566683,21385,65368726467,6217848731,5711451109,230178172524,83676650380,327612292,65279510455,1,C,MEM,cg,SLA,2396.60764160326,0.786259980885355,106.825228972444,0.536113979151427,2.75080529011013,136.9308267508,0.004386691222341,0.702955015295976,10.1750627382994,320,254.98
611202578320,775863141190,1,97937041011,429629907,21348,65382801046,6216814027,5722794618,230176813044,83674372251,324843576,65269558474,1,C,MEM,cg,SLA,2401.20444063801,0.787771123374352,106.788748590369,0.531482666340988,2.75086393661291,136.901209548222,0.004386796890788,0.70292554750164,10.1714460107286,320,254.54
611103104764,775809752290,0,97901407625,429130026,21339,65382268096,6217980894,5731604751,230178625275,83667381995,324918625,65279713448,1,C,MEM,cg,SLA,2400.81364329378,0.787697116413107,106.822748794919,0.531691988581009,2.75111542618551,136.912055171625,0.004383287599334,0.702221969835555,10.1750111323707,320,254.54
611181843430,775640714537,1,97911091913,429113975,21337,65391380083,6219653491,5730490000,230158673485,83656736769,324235420,65277619479,1,C,MEM,cg,SLA,2401.97226736097,0.787970296008546,106.805560702944,0.530505648172344,2.7512270066251,136.876999322349,0.00438269011831,0.702105240220781,10.1764369440277,324,254.45
611283597671,776491630630,1,97937091268,429417669,21359,65378519048,6218403180,5727511786,230145544288,83672475053,324275837,65267351496,1,C,MEM,cg,SLA,2400.01412513153,0.787237844630779,106.770984441051,0.53048345847246,2.75055260576696,136.879961071741,0.004384627554691,0.702485181405305,10.1726975886352,324,254.7
611184473752,775098609958,1,97886004179,429208268,21329,65390335768,6219941914,5725555246,230182168859,83672731998,326702346,65281480039,1,C,MEM,cg,SLA,2403.49393901451,0.788524796587002,106.811417571267,0.534539668513513,2.7509818714238,136.902581121444,0.004384776675684,0.702256497723402,10.1768650564966,324,254.29
610965769382,776809065752,0,97902736340,429287872,21369,65374385038,6217449325,5698296819,230200249946,83671665643,324800790,65283414130,1,C,MEM,cg,SLA,2397.16627842429,0.786507001936888,106.85281795089,0.531618637699687,2.75123302705829,136.949842096121,0.004384840383921,0.702638173058747,10.1764282658405,324,254.87
611242392945,776010572349,1,97919292591,429384918,21344,65384872122,6218843914,5725004774,230145817657,83648718914,323350975,65275877868,1,C,MEM,cg,SLA,2401.17219101587,0.787672764682518,106.792131274628,0.529006133625773,2.7513370275714,136.850323013389,0.004385090074062,0.702478955903565,10.1741043909557,324,254.56
611225491758,774396543402,1,97907556737,429132895,21304,65392559740,6221123510,5719853644,230182248696,83671404531,327964758,65293786417,1,C,MEM,cg,SLA,2405.64189136492,0.789292639495557,106.824383631649,0.536569175242857,2.75102647058731,136.891222076398,0.004383041608859,0.702086056269893,10.1781152682407,324,254.08
