instructions,cycles,cpu_migrations,branches,branch_misses,context_switches,cache_references,cache_misses,L1_dcache_stores,L1_dcache_loads,L1_dcache_load_misses,LLC_stores,LLC_loads,thread,seconds,workload,class,app,dwarfs,MIPS,instructions_per_cycle,Loads_PTI,Stores_PTI,L1_load_ratio,L1_load_rate_PTI,branch_miss_predict_ratio,branch_miss_predict_rate_PTI,cache_misses_PTI
16722267108053,66565155412728,12,2792724247229,7500815726,2168116,2096354971926,737515576945,210126841470,6021948717913,3123608571602,6213864758,2091163186690,12,2091.68,D,MEM,cg,SLA,7994.65841240199,0.251216526189549,125.052612374727,0.371592243913361,1.92788199285307,186.793366678,0.002685841874092,0.448552560339609,44.1038031613448
16722220743278,66688684954946,12,2792107264586,7499364571,2169750,2088947080478,736518699119,210479698647,6022015786375,3122700935596,6206395717,2084023163258,12,2094.37,D,MEM,cg,SLA,7984.36796902076,0.250750494698993,124.625980917979,0.371146620552467,1.92846382365003,186.739607348579,0.002685915640176,0.448467023975544,44.0443114838719
16722989510439,66809495989974,12,2792228996932,7499460834,2170216,2096155098973,739167480502,210316084620,6021981042480,3123902388790,6206074893,2090902979021,12,2096.67,D,MEM,cg,SLA,7975.97595732232,0.250308571598094,125.031650454352,0.371110374082695,1.92771101430366,186.802867205051,0.00268583301808,0.448452163969762,44.2006783560194
16724425650382,66996658930032,12,2792768836721,7502979766,2172901,2121508700235,746453281667,210396033245,6021845012280,3123315107573,6204181392,2116578433189,12,2102.6,D,MEM,cg,SLA,7954.16420164653,0.249630741554563,126.556120816063,0.370965288835392,1.92802993129929,186.751711111925,0.002686573864384,0.448624061767324,44.6325211562617
16724918938990,67169334221267,12,2792957795588,7506877609,2183501,2095895546053,746250375164,210438819572,6022310294600,3123494421791,6229322339,2090869385700,12,2105.13,D,MEM,cg,SLA,7944.83900708745,0.248996348302267,125.015217910902,0.372457550420641,1.92806820866574,186.756924394375,0.002687787699785,0.448843885963452,44.6190727671811
16721284452717,66675648527479,12,2792252844440,7504706310,2163043,2089802695051,735157706590,210375893676,6022327314874,3123684848717,6211373191,2084717859187,12,2092.81,D,MEM,cg,SLA,7989.87220661073,0.250785478986765,124.674504825391,0.371465075459005,1.92795611802758,186.808905592742,0.002687688661485,0.448811592866634,43.9653848763123
16722122945336,66985332809665,12,2792352420692,7501811063,2176386,2094804539188,742176434956,210692286949,6021945823652,3122911395364,6200305642,2089542366196,12,2103.61,D,MEM,cg,SLA,7949.25054802744,0.249638573758392,124.956763745048,0.370784598478828,1.9283114572484,186.753285188291,0.00268655596887,0.448615949513297,44.3829074443566
16723313965035,67082131178208,12,2792756822626,7509260308,2184081,2090309247319,742296050842,210471457847,6022282595890,3123620580236,6216570273,2085075632765,12,2107.37,D,MEM,cg,SLA,7935.6325491181,0.249296104213035,124.680768245126,0.371730763770719,1.92798146932269,186.782391741664,0.00268883428989,0.449029440199491,44.3868991752465
16723640934199,67145374385795,12,2792847665900,7506121837,2204016,2095933224983,744577235708,210413710589,6022145074392,3123817955384,6212422084,2090754828667,12,2107.67,D,MEM,cg,SLA,7934.65814581932,0.249066165572486,125.017921449839,0.371475452531148,1.92781562831235,186.790542064076,0.00268762307685,0.44883299435414,44.5224361511719
16724305254698,66714560545219,12,2792715560337,7506785743,2174420,2093939454333,739883150112,210228030611,6021746968337,3123303976995,6190307634,2088585003581,12,2095.58,D,MEM,cg,SLA,7980.7524669533,0.250684485036251,124.883214685064,0.370138402745375,1.92800541115779,186.75238997552,0.002687987938913,0.44885486294812,44.2399931622966
16722191286883,66666816708725,12,2792787301211,7502027254,2168022,2093923048063,736989803116,210258207679,6022178914706,3123796226012,6218959335,2088753351194,12,2093.59,D,MEM,cg,SLA,7987.32860153277,0.250832304772315,124.909069353395,0.371898588427116,1.9278398714228,186.805435509061,0.002686215040704,0.448627044464241,44.0725614527625
16726547037038,67152481419749,12,2793146983390,7505103061,2179454,2096945165125,744134929730,210637323448,6022886490114,3122894334403,6223617382,2091750671793,12,2104.73,D,MEM,cg,SLA,7947.12245135386,0.249083082015773,125.055737275672,0.372080224819796,1.92862320820899,186.702869844439,0.00268697032617,0.448694105506729,44.4882573840401
16723184623525,66758134367684,11,2792633416658,7500960442,2171566,2090217968077,739159747392,210321209547,6022139752849,3124102617452,6191431314,2085178728597,12,2092.55,D,MEM,cg,SLA,7991.77301547155,0.25050407387688,124.687897403448,0.370230398897249,1.92763826617213,186.81266085272,0.002685981051883,0.448536604173357,44.1997002384463
16724034671135,66694832149815,12,2793042064560,7503870855,2168820,2084534987888,736550013762,210549540245,6022521282261,3123093036355,6209322619,2079382159087,12,2093.92,D,MEM,cg,SLA,7986.9501562309,0.250754580708265,124.334958637459,0.37128137683887,1.92838356467598,186.742798479444,0.002686630090615,0.448687831767736,44.0414067685028
16723347801483,66676402931964,12,2792673211865,7502669754,2171731,2100799231158,739340104088,210437360808,6021926430211,3123893445500,6198433846,2096035601187,12,2098,D,MEM,cg,SLA,7971.0904678184,0.250813587207866,125.33588525864,0.370645514258236,1.92769905096656,186.798330249579,0.002686554847207,0.448634438693829,44.2100536844923
5881343141,6097073910,2,563111884,44302475,200,1280679,9775,489083640,1110582744,18020885,8798229,487758,1,2.36,W,CPU,ep,MR,2492.09455127119,0.96461732756,0.082933096795483,1.49595573478205,61.6275362724972,3.06407644783942,0.078674374060982,7.53271386108366,0.001662035315004
5873051926,6090748778,1,562591284,44402557,196,1260834,7296,489932005,1107362967,17821135,8771807,505438,1,2.38,W,CPU,ep,MR,2467.66887647059,0.96425778505488,0.08606053656063,1.49356878000128,62.137622940402,3.03439084560207,0.078925070940132,7.56038896973308,0.001242284265818
5879525265,6099077350,1,562919904,44346138,196,1224917,11250,488991840,1108206652,17950079,8676520,557149,1,2.37,W,CPU,ep,MR,2480.81234810127,0.964002410135035,0.094760882025056,1.47571778484398,61.7382604277118,3.05298101308525,0.078778770629507,7.54246916226152,0.001913419790365
5915780239,6212542438,0,563500727,44452174,199,1256332,1737,484688258,1100423581,17947104,8714502,520126,1,2.38,W,CPU,ep,MR,2485.62194915966,0.952231763088682,0.087921792052222,1.47309427462321,61.3148272278358,3.03376786745441,0.0788857438333,7.51416925648242,0.000293621454791
5821869016,6095881235,0,557461862,43930097,197,1170140,1139,487960373,1107911416,18263011,8708600,505120,1,2.45,W,CPU,ep,MR,2376.2730677551,0.955049613265636,0.08676251537295,1.49584265397702,60.6642254116805,3.13696700317519,0.078803771153766,7.5457034294775,0.00019564163963
5883951729,6101919930,1,562534511,44377188,198,1278864,3850,489652949,1110378117,17971770,8722228,484612,1,2.38,W,CPU,ep,MR,2472.24862563025,0.964278751032382,0.082361654602214,1.48237585923948,61.7845719703735,3.05437074057274,0.078887938663731,7.54207207059159,0.000654322159209
5881879828,6089862308,1,562587395,44260216,197,1247596,8517,489013753,1110412848,17969605,8744265,492684,1,2.36,W,CPU,ep,MR,2492.32196101695,0.965847753285525,0.083763016995797,1.48664461969691,61.7939486148972,3.05507856764734,0.078672605169193,7.52484193731814,0.001448006462059
5879428193,6092598946,1,562363652,44235646,197,1257673,4273,489108757,1109215519,17926928,8614548,494888,1,2.4,W,CPU,ep,MR,2449.76174708333,0.965011523835825,0.084172811326994,1.46520166880453,61.874266410843,3.04909379135605,0.078660215400977,7.52380070780805,0.000726771355944
