instructions,cycles,cpu_migrations,branches,branch_misses,context_switches,cache_references,cache_misses,L1_dcache_stores,L1_dcache_loads,L1_dcache_load_misses,LLC_stores,LLC_loads,thread,seconds,workload,class,app,dwarfs,MIPS,instructions_per_cycle,Loads_PTI,Stores_PTI,L1_load_ratio,L1_load_rate_PTI,branch_miss_predict_ratio,branch_miss_predict_rate_PTI,cache_misses_PTI
297988046048,271470014049,4,16679111205,369200888,8941,63255357575,13938882,14138764471,102110733183,3465051202,1421645626,14157415384,4,26.59,B,MEM,ft,SM,11206.7711939827,1.09768309804638,47.5100111288341,4.7708142821642,29.4687516086523,11.6281550483466,0.022135525296415,1.23897885467704,0.046776648207407
297824255598,268704791705,4,16638635054,369861831,9054,63197917322,13174570,14128575512,102073206017,3466836427,1404578564,14139699562,4,26.77,B,MEM,ft,SM,11125.299051102,1.1083697231755,47.4766554309318,4.71613220749852,29.4427522516049,11.640544253318,0.022229096906064,1.24187947773883,0.0442360544931
299013903340,270604594627,4,16787888890,372498764,9105,63404065368,14430989,14145685538,102638815843,3597270952,1439845872,14197753660,4,26.97,B,MEM,ft,SM,11086.907799036,1.10498457630462,47.4819180693954,4.81531412391481,28.5324117122551,12.0304471190748,0.022188541182321,1.24575733716449,0.048261933103462
298155563073,269146664095,4,16658319781,369054940,9051,63137102153,13347390,14116077912,101975884325,3441654840,1424130576,14147377440,4,26.79,B,MEM,ft,SM,11129.3603237402,1.10778100882484,47.4496510955128,4.77646823464205,29.6298987161072,11.5431515163692,0.022154391610427,1.23779323852375,0.044766530137598
297732322864,268398995625,4,16609573068,370698682,9045,63176362351,13555271,14146019894,102064873013,3541964368,1404274721,14139825200,4,26.78,B,MEM,ft,SM,11117.7118321135,1.10929000375241,47.4917370878098,4.71656791406371,28.815894912752,11.8964724216991,0.022318375101055,1.24507369046837,0.045528382238135
298146174820,270334168627,4,16630116078,369008246,8992,63136649516,13711556,14122407752,102025401039,3484716303,1409263637,14166036941,4,26.61,B,MEM,ft,SM,11204.290673431,1.10288009959767,47.5137303020992,4.72675404221039,29.2779647373779,11.687945703492,0.022189156363627,1.23767560064382,0.045989374199679
298030455815,268899197094,4,16641143624,369351035,9009,63181935750,13869533,14112771126,101930007162,3439580219,1429722652,14144600205,4,26.7,B,MEM,ft,SM,11162.189356367,1.10833523876539,47.4602508871783,4.7972367390784,29.6344323062872,11.5410359977944,0.022195051214348,1.23930634535308,0.046537300901252
298092851838,269514654295,4,16629823830,369155969,9145,63089131605,14046823,14119248443,102004779608,3507856391,1428535586,14154515660,4,27.04,B,MEM,ft,SM,11024.1439289201,1.10603578353747,47.483579605231,4.79225039175493,29.0789497169013,11.7676635631181,0.022198429326356,1.23839255696282,0.047122307406532
298687942444,281377733721,6,16753047573,369706025,10088,63222982874,14566489,14100531266,102056117277,3452677438,1428103460,14147958481,6,19.63,B,MEM,ft,SM,15215.8911076923,1.06151946884384,47.3670224691194,4.78125580937286,29.558543799596,11.5594804723238,0.022067986340338,1.23776682103368,0.048768252514013
298222759721,282420781913,6,16697306791,369086946,10013,63058866853,14149386,14114166869,102070402340,3546844005,1457601121,14154499041,6,19.5,B,MEM,ft,SM,15293.4748574872,1.05595189454885,47.4628397049311,4.88762535214833,28.7778098490125,11.8932706823524,0.022104579536081,1.23762165686246,0.047445694665415
298578909938,280791711323,6,16817500011,372740897,9935,63404024374,14956736,14107268784,101880968704,3477363082,1463786730,14120663036,6,19.37,B,MEM,ft,SM,15414.5023199794,1.06334659428226,47.2929016953413,4.90251213759189,29.298340812143,11.6463787838266,0.022163870774859,1.24838320656137,0.050093075907825
297587250994,281147795529,6,16688852826,370247600,10023,63320431132,14184688,14150096020,102322969123,3451222933,1429416296,14115395713,6,19.56,B,MEM,ft,SM,15214.0721367076,1.05847264579851,47.4327971573103,4.80335192863763,29.648322090296,11.5973480768152,0.022185323572582,1.24416485841816,0.047665644118222
298992898295,281971430603,6,16761687217,370141776,10065,63148995847,14222307,14086094854,102090302471,3462918942,1455669413,14163566497,6,19.6,B,MEM,ft,SM,15254.7397089286,1.0603659301781,47.3709127466485,4.86857521132081,29.4809968644654,11.5819437911309,0.02208260846346,1.23796176467978,0.047567373944674
299123844308,281922148663,6,16804301418,370889625,9981,63222762232,14156077,14073032042,101785695613,3479313259,1459854074,14164917655,6,19.41,B,MEM,ft,SM,15410.8111441525,1.06101576526207,47.3546924611425,4.88043364572711,29.2545361788592,11.6316814095818,0.022071112376187,1.23991995976792,0.047325137294718
298501015973,281285025164,6,16799272212,371937035,9977,63329878668,14418140,14106054131,102133551984,3481052808,1523207340,14149204183,6,19.44,B,MEM,ft,SM,15354.9905335905,1.06120478969317,47.4008577052208,5.1028547927548,29.3398456206356,11.6617787602936,0.022140068349766,1.24601597682214,0.048301812149625
297890580607,281405516984,6,16778575134,370364982,9961,63343451669,14390381,14134851338,102201432152,3468877281,1451415490,14110599330,6,19.43,B,MEM,ft,SM,15331.4760991765,1.05858116713446,47.3683971518918,4.87231078956074,29.4623948537429,11.6448035178944,0.022073684984698,1.24329202100087,0.048307606674495
298244864774,281745591718,6,16740427040,368734664,9960,63148326580,14616635,14124649964,102284724864,3494653322,1438449014,14146763607,6,19.38,B,MEM,ft,SM,15389.3119078431,1.05856089160222,47.4333853752015,4.82304704588965,29.2689189568773,11.7173964575991,0.022026598432581,1.23634874410802,0.04900884047434
298193016787,281680703961,6,16810086863,371266761,9984,63351570611,14911190,14132362852,102040354130,3462592602,1473983890,14122987299,6,19.39,B,MEM,ft,SM,15378.7012267664,1.0586206743799,47.3618981798225,4.94305301271649,29.4693502409326,11.6119171377958,0.022085951371089,1.24505518271475,0.050005161625402
298056743159,281778229372,6,16749266627,370883721,10030,63331635850,14552451,14127267036,102151796111,3508295815,1455306716,14123795042,6,19.5,B,MEM,ft,SM,15284.961187641,1.0577706582346,47.38626240194,4.88264986249165,29.1172128855959,11.7705634766615,0.022143281211019,1.2443393062312,0.048824431367543
298271864754,282292690714,6,16736917152,369301032,9982,63188344970,14138636,14126843651,102278042175,3451455098,1461195749,14153578367,6,19.41,B,MEM,ft,SM,15366.9172979907,1.05660498682975,47.4519391182711,4.89887220910066,29.633310957534,11.571507426108,0.02206505706195,1.23813565957547,0.04740184265003
298362909408,282421949415,6,16747984232,371170441,10162,63248729935,14285012,14106660563,102074373249,3572459441,1445559118,14120980660,6,19.77,B,MEM,ft,SM,15091.7000206373,1.05644377154828,47.328204058669,4.84496923852976,28.5725772215982,11.9735373545202,0.0221620963967,1.24402340001464,0.047877975276296
298579084202,281242293973,6,16773034922,369841565,9995,63209560426,14629843,14105671892,102060414002,3449998004,1434621163,14141738460,6,19.48,B,MEM,ft,SM,15327.468388193,1.06164360980025,47.3634598277238,4.8048280636745,29.5827458113509,11.5547209652031,0.022049770165023,1.23867204559375,0.048998217805847
