branch_misses,cache_misses,cache_references,cycles,instructions,context_switches,L1_dcache_load_misses,L1_dcache_loads,L1_dcache_stores,branches,app,dwarfs,class,workload,Thread,Run,Mode,power,seconds,energy,MIPS,instructions_per_cycle,L1_load_ratio,L1_store_ratio,L1_load_rate_PTI,cache_misses_PTI
62353969,6369970708,110145313442,217442874221,214357027843,81716,6374590797,110189047942,110202241005,2605518734,bt,DLA,CPU,A,1,1,1,3.86667,243.55,941.7274785,880.135610112913,30.8800616442905,17.2856660844578,17.2816180602186,29.7487208754851,29.716640373767
62182259,6479358730,110175832230,218009880955,214366018605,81203,6479150216,110187598531,110246435921,2607184947,bt,DLA,CPU,A,1,2,1,3.85957,243.65,940.3842305,879.81128095629,31.8800616442905,17.0064892551644,17.0118110034218,30.2313866123595,30.2256802275138
62043311,6213256553,110185866038,216770360114,214348553502,80376,6208324901,110193054804,110205063653,2596569216,bt,DLA,CPU,A,1,3,1,3.85466,242.31,934.0226646,884.604653138542,32.8800616442905,17.7492409887006,17.7500842498754,28.9654696034236,28.9866969078568
62097246,6385397367,110176103547,216518308654,214315060602,80940,6385973549,110193073182,110233948490,2601883479,bt,DLA,CPU,A,1,4,1,3.85482,242.72,935.6419104,882.972398656889,33.8800616442905,17.2554853753279,17.2589348370728,29.8022245989575,29.7944407129566
62168103,6151252069,110200976298,216945723972,214381518305,79950,6150228085,110263761337,110224301204,2600744276,bt,DLA,CPU,A,1,5,1,3.84645,255.8,983.92191,838.082557877248,34.8800616442905,17.9284019735668,17.9242131156811,28.6846736258821,28.693014760016
62330935,6435409442,110200115493,217844234303,214358126520,81831,6435436549,110218519862,110255904865,2607593702,bt,DLA,CPU,A,1,6,1,3.85073,244.33,940.8488609,877.330358613351,35.8800616442905,17.1268132352462,17.132110880008,30.0227886270481,30.0217656613992
61860089,6171001628,110194736102,216538161193,214343083991,80849,6167151585,110221078467,110214933435,2600003428,bt,DLA,CPU,A,1,7,1,3.85197,242.21,932.9856537,884.947293633624,36.8800616442905,17.8722830058344,17.8583922149339,28.7931122716287,28.790299705957
62458294,6693193575,110187805560,218296825914,214345871954,81764,6694226735,110237123333,110268723755,2609427270,bt,DLA,CPU,A,1,8,1,3.85212,245.21,944.5783452,874.131854141348,37.8800616442905,16.4674917203861,16.4735121606815,31.2284927438981,31.2261370558907
62247181,6360132093,110159639053,217443171250,214417105452,81117,6358970736,110208104212,110202813285,2604467884,bt,DLA,CPU,A,1,9,1,3.85102,243.53,937.8389006,880.454586506796,38.8800616442905,17.3311230366386,17.3229672501034,29.6695506013355,29.6624286555524
61675185,6651894065,110185850122,217971342879,214343582380,79858,6657100929,110169333924,110224430947,2607304453,bt,DLA,CPU,A,1,10,1,3.85412,241.96,932.5428752,885.863706315093,39.8800616442905,16.5491458067092,16.5431306983612,31.0849146730586,31.0337915935694
