instructions,cycles,cpu_migrations,branches,branch_misses,branch_ratio,context_switches,cache_references,cache_misses,mem_loads,L1_dcache_stores,L1_dcache_loads,L1_dcache_load_misses,LLC_stores,LLC_loads,thread,seconds,workload,class,app,MIPS,Instructions_per_cycle,dwarfs,Loads_PTI,Stores_PTI,L1_load_ratio,L1_load_rate_PTI,branch_miss_predict_ratio,branch_miss_predict_rate_PTI,cache_misses_PTI
17614298954,11281624532,2,106256597,698585,152.102603119162,7,126776934,12774,0,3080256309,4927504764,280407830,2175176,5333308,2,1.33,W,CPU,bt,13243.8338,1.56132646535413,DLA,0.302782870548979,0.123489217804268,17.5726361278856,15.9193295590298,0.006574509439635,0.039660108064724,0.000725206267553
17672056894,11298491251,2,106056332,690747,153.538606754716,8,124089868,14080,0,3081545506,4924577745,279696663,1805510,4983476,2,1.34,W,CPU,bt,13188.1021597015,1.56410767609666,DLA,0.281997507697702,0.102167507202458,17.6068519809262,15.8270576355468,0.006513019892108,0.039086961078907,0.000796738041556
17630707864,11266170362,2,105694794,699588,151.08148510266,11,130158121,12920,0,3085184302,4926727588,280990167,2579440,5331390,2,1.33,W,CPU,bt,13256.1713263158,1.56492466361659,DLA,0.302392282892176,0.146303825115663,17.5334519374836,15.9375431302876,0.00661894473251,0.039680085756992,0.000732812323797
17637769953,11281740732,2,105779571,697479,151.659865028194,9,125572045,18838,0,3087275482,4936680312,281637820,1786896,4875038,2,1.32,W,CPU,bt,13361.9469340909,1.56339082522713,DLA,0.276397640574216,0.101310766880485,17.5284708282432,15.9678814697374,0.006593702294368,0.039544625077807,0.001068048854827
17661814442,11297332662,2,105813324,691577,153.002954117907,7,124806596,24465,0,3088184356,4931932979,280913139,1743079,4729860,2,1.33,W,CPU,bt,13279.5597308271,1.56336145623185,DLA,0.267801477335892,0.098691955219218,17.5567899620388,15.9051121232474,0.006535821519037,0.039156622456378,0.001385191769529
17610300594,11229014912,2,106209283,695727,152.659423883219,7,139328427,14893,0,3084052057,4934196145,278147205,4096253,5520942,2,1.32,W,CPU,bt,13341.1368136364,1.56828544017522,DLA,0.313506403285418,0.232605512786967,17.7395136686705,15.7945745170737,0.006550529109588,0.039506821379133,0.000845698227609
17612342364,11285368326,2,106115012,720463,147.287247228518,5,122994119,52494,0,3085273586,4934614421,281501002,1491777,4730205,2,1.33,W,CPU,bt,13242.3626796992,1.56063513881275,DLA,0.268573305142457,0.084700658729484,17.5296513544915,15.9831665875059,0.006789454068949,0.040906711050124,0.002980523482629
17582406705,11292587771,2,105993487,711796,148.909922224907,10,134546809,10982,0,3085566827,4937827374,280817825,2861747,5406927,2,1.34,W,CPU,bt,13121.1990335821,1.55698649960044,DLA,0.307519163372691,0.162761961318196,17.5837391162758,15.971523677708,0.00671546922501,0.040483422545196,0.000624601636412
17659612490,11294325791,2,105040273,718961,146.100098614528,9,135101305,109670,0,3086132824,4931299332,281002529,3122398,5736436,2,1.34,W,CPU,bt,13178.8152910448,1.56358270664303,DLA,0.324833628328387,0.176810108475942,17.5489500025105,15.9121571415636,0.006844622347849,0.040712161742344,0.006210215544769
17603210483,11246164049,2,106197522,716329,148.252439870506,7,133736358,12300,0,3090215317,4930695689,279736026,3037962,5773302,2,1.33,W,CPU,bt,13235.4966037594,1.56526353397497,DLA,0.327968696708789,0.172579996298622,17.6262448548547,15.8911936132418,0.006745251551161,0.040693088382473,0.000698736177238
